"variableName","definition.NA.means.not.recorded"
"fluorouracil","Did the patient receive fluorouracil? 1=YES,0=NO."
"paclitaxel","Did the patient receive paclitaxel? 1=YES,0=NO."
"cyclophosphamide","Did the patient receive cyclophosphamide? 1=YES,0=NO."
"anastrozole","Did the patient receive anastrozole? 1=YES,0=NO."
"fulvestrant","Did the patient receive fulvestrant? 1=YES,0=NO."
"gefitinib","Did the patient receive gefitinib? 1=YES,0=NO."
"trastuzumab","Did the patient receive trastuzumab? 1=YES,0=NO."
"letrozole","Did the patient receive some form of letrozole (an estrogen inhibitor)? 1=YES,0=NO"
"chemotherapy","Did the patient receive some form of chemotherapy? 1=YES,0=NO"
"hormone_therapy","Did the patient receive some form of hormone therapy (anti estrogen or anti HER2, but no further details were given)? 1=YES,0=NO. If the specific hormone therapy was given, then it would be recorded udner the specific name (like taxmoifen). Otherwise, it's just recorded under this variable. All patients who had any hormone therapy will have ""1"" for the hormone_therapyClass variable."
"no_treatment","Did the patient receive no treatment? 1=YES,0=NO (usually only would occur in a very early trial.)"
"methotrexate","Did the patient receive methotrexate? 1=YES,0=NO."
"cetuximab","Did the patient receive cetuximab? 1=YES,0=NO."
"carboplatin","Did the patient receive carboplatin? 1=YES,0=NO."
"other","Did the patient possibly have another treatment that was unspecified? 1=YES, 0=NO. For example, sometimes a trial says some paients may have received radiotherapy, but don't list the specific patients. This usually pertains to radiotherapy; it was always determined if a patient had chemotherapy or not."
"taxaneGeneral","Did the patient receive a chemotherapy that fell in the general taxane class? 1=YES,0=NO."
"neoadjuvant_or_adjuvant","Did the patient receive neoadjuvant treatment? Several values are allow:"" neo"", ""adj"", ""mixed"" (both neoadjuvant and adjuvant), "" unspecified"", or NA (NA was placed during data curation; ""unspecified"" was noted by the specific trial researchers.)"




